Once_DEPTIME,Once_ARRTIME,Twice_1st_DEPTIME,Twice_2nd_DEPTIME,Twice_1st_ARRTIME,Twice_2nd_ARRTIME,Three_1st_DEPTIME,Three _2nd_DEPTIME,Three_3rd_DEPTIME,Three_1st_ARRTIME,Three _2nd_ARRTIME,Three_3rd_ARRTIME
930,585,690,1035,595,930,540,780,975,530,805,960
990,1060,540,945,585,950,600,840,1107,745,980,1090
340,850,480,890,645,950,910,995,1145,670,707,930
360,1044,570,650,530,920,650,765,860,610,1045,1260
470,1421,1080,1140,700,1305,510,840,1170,610,910,1230
405,970,555,860,520,895,552,625,690,543,760,1035
660,1055,705,990,450,1438,780,900,1200,890,1027,1445
510,1020,690,910,670,930,530,1058,1347,555,955,1100
660,555,690,930,950,1275,480,665,815,630,1021,1215
960,1110,570,900,705,870,672,935,1080,770,945,1225
480,905,600,685,1060,1310,700,1015,1150,755,975,1335
1095,670,675,990,885,1110,600,960,1140,678,920,1060
540,780,600,1095,810,990,435,570,1160,945,975,1075
660,880,770,1080,830,860,870,1230,1305,610,955,1090
660,1085,615,1083,1055,1375,660,720,1050,1065,1325,1485
480,1220,660,1045,795,1025,450,720,900,730,1000,1350
600,825,570,900,1140,1385,480,915,980,625,1100,1320
570,910,510,990,900,1215,480,660,810,725,955,1120
675,1065,780,840,1125,1362,600,715,735,630,1080,1330
1245,1035,510,960,532,1235,710,825,1092,735,830,965
780,835,615,720,785,970,465,810,895,750,1090,1365
570,1160,600,1080,520,930,520,773,905,592,640,716
570,1115,420,960,1020,1395,390,570,890,785,915,1380
750,1260,735,930,695,920,520,710,990,675,1190,1385
660,360,785,1210,1166,1325,525,810,990,660,765,945
590,790,475,1115,1115,1360,495,850,1170,721,976,1095
660,983,645,975,605,895,600,1140,1205,765,1105,1325
930,1360,495,1055,960,1040,1060,1190,1330,485,765,1235
500,855,310,952,725,1010,570,915,1110,970,1280,1365
650,645,505,1095,825,1040,560,745,1015,685,1020,1090
630,980,555,870,620,960,465,750,1170,719,770,940
780,985,525,1100,665,1000,525,920,990,1055,1260,1380
780,1230,900,1050,885,1056,515,870,1003,495,690,1125
660,1230,540,720,1027,1260,505,995,1120,665,730,1130
1065,490,983,1097,930,1120,525,710,1110,745,1060,1143
940,1010,495,705,920,1099,570,690,900,505,865,1030
1145,995,420,620,705,905,765,920,1040,770,800,945
510,695,570,675,885,1150,530,735,900,540,730,985
720,525,600,960,615,940,515,675,900,565,930,1035
420,700,480,870,790,1065,1075,1155,1160,510,925,1380
520,990,540,930,820,920,710,900,1016,890,1150,1220
1125,1035,455,545,640,765,630,810,1020,1190,1210,1340
910,915,810,885,700,945,645,960,1215,810,945,1240
1080,1290,525,905,900,955,525,600,780,570,820,1200
1130,965,525,915,960,1295,505,540,630,830,940,1070
405,840,741,890,800,972,470,980,1040,717,945,1411
780,1265,540,1015,756,1050,810,1110,1290,705,750,1150
965,1030,900,1050,928,1145,770,975,1095,670,810,1030
540,580,535,835,1030,1305,600,720,1060,852,937,1138
475,930,425,1245,840,938,520,920,1160,555,750,1125
1155,900,525,905,1077,1170,520,660,940,550,820,950
900,710,510,950,725,990,840,1020,1133,1145,1159,1165
480,715,700,960,930,1245,540,910,980,737,935,1235
1145,930,660,870,645,835,490,900,1130,735,1005,1275
725,780,540,840,1059,1182,520,1140,1250,750,971,1240
515,935,510,800,540,810,340,820,1120,540,660,820
495,790,555,880,580,825,575,990,1160,535,560,765
900,840,585,930,630,995,900,1032,1115,870,1120,1300
810,1110,690,855,570,945,810,1030,1290,863,1058,1518
1088,505,495,555,870,1070,795,975,1025,635,880,1285
870,703,605,1050,468,705,390,600,870,540,945,1235
660,715,540,840,1100,1180,640,885,1160,535,755,950
990,960,930,1140,862,1120,660,915,1010,890,1045,1477
1150,1000,840,960,765,880,405,990,1250,538,719,961
900,850,420,635,855,1000,470,600,920,620,945,1060
510,1040,690,1140,540,945,500,920,1005,710,950,1040
630,1200,450,810,930,990,600,990,1285,810,930,1220
660,705,600,1140,767,916,555,795,960,925,1020,1335
600,1145,520,870,560,1040,885,1005,1185,1090,1150,1280
765,1080,380,930,513,1050,735,815,940,518,1054,1255
960,1390,535,1200,995,1260,720,890,1020,945,1052,1352
480,770,490,885,546,938,690,955,1105,619,1010,1225
1090,635,630,750,670,930,570,645,885,580,632,923
705,990,520,615,945,1020,450,505,900,740,1028,1365
1020,670,690,925,835,1015,525,925,980,695,935,1080
525,1215,525,680,695,915,595,685,1155,765,1035,1280
1000,965,520,915,592,950,510,870,900,725,1000,1375
495,1215,645,900,715,955,370,1088,1140,500,658,945
600,994,530,816,625,975,510,695,885,520,955,1105
690,970,490,870,743,1110,925,1020,1200,960,1080,1340
300,1065,615,975,545,815,620,1005,1130,705,1000,1305
540,1035,1020,1075,670,900,470,925,960,720,860,1033
900,980,675,915,650,1360,500,740,910,905,1040,1217
525,1470,600,735,570,870,510,690,1015,810,935,1070
1025,705,930,1080,925,1022,690,900,960,755,960,1060
540,735,510,875,470,860,610,765,1140,765,975,1130
525,1020,750,962,940,1300,840,940,1170,795,1010,1480
525,1080,730,970,940,1179,535,765,880,480,530,955
380,835,935,1190,585,1095,525,660,915,840,945,1105
1140,1225,525,705,695,1305,710,890,960,742,974,1295
990,1025,505,894,545,935,920,1070,1190,530,900,960
1125,1040,890,975,780,1050,485,735,795,1000,1050,1240
570,1440,530,870,665,1280,520,660,1050,688,1020,1145
510,635,780,915,500,925,720,1035,1105,495,945,1068
615,1245,350,520,492,785,480,675,980,541,810,1040
510,1090,630,965,685,830,520,785,1035,795,935,1200
690,870,520,960,710,1033,480,730,900,720,1020,1380
1050,661,510,895,530,940,500,915,975,862,1040,1292
660,865,1070,1105,585,860,330,525,650,522,707,865
480,1120,795,985,670,945,510,568,930,560,775,960
830,740,520,890,805,935,730,988,1022,745,945,1010
570,860,625,840,1135,1170,725,820,1065,965,1095,1220
560,1260,1140,1275,810,960,735,860,1005,550,775,825
510,1305,510,925,960,1023,735,1055,1300,555,720,1438
570,955,480,765,1037,1098,900,990,1180,760,1100,1133
870,1170,510,1020,740,955,435,555,710,550,836,1305
950,870,525,1100,660,1150,750,920,980,540,765,990
750,1100,780,1260,955,1340,600,1020,1060,665,895,968
840,1070,660,780,787,1110,645,970,1055,845,922,995
1020,1305,700,1073,825,1070,530,720,925,945,1060,1198
660,545,610,930,1068,1296,790,1020,1040,810,935,1230
420,990,588,775,570,740,745,970,1295,565,574,990
540,813,615,885,702,951,570,1145,1230,820,1018,1160
720,560,570,750,930,1135,450,930,1100,820,905,1185
900,920,570,750,690,895,870,945,1185,600,975,1095
480,865,660,960,890,955,710,930,965,705,1070,1155
750,1035,450,480,980,1120,615,780,890,935,1060,1220
510,780,510,1220,460,555,510,600,885,540,700,885
1170,560,840,945,710,1030,580,770,1000,765,935,995
435,960,670,1060,690,1040,1085,1150,1175,630,1060,1140
495,550,705,845,540,913,830,1240,1420,930,1050,1130
690,865,630,885,880,1150,630,770,1110,660,915,1085
1115,1183,830,1000,560,930,520,600,910,1010,1035,1140
900,1260,630,990,710,922,450,870,1080,780,1005,1310
540,605,570,870,1200,1330,520,900,1095,1105,1165,1250
600,1245,330,520,595,1335,465,700,1220,505,985,1240
620,633,520,1020,560,975,480,1000,1140,935,1095,1200
1020,750,465,750,510,945,510,870,1140,835,955,1090
495,1000,520,960,740,1056,705,820,1160,705,870,990
515,1215,525,885,630,1090,600,990,1125,570,665,950
410,1230,590,795,826,1547,630,915,960,625,955,1175
825,1125,600,630,685,810,510,620,825,1118,1168,1383
540,734,710,955,1070,1245,590,810,1035,943,1280,1480
490,855,510,900,690,1040,780,920,1035,652,789,1420
795,988,495,960,765,1035,910,940,1040,570,750,1000
970,865,480,925,735,961,495,1125,1170,750,1020,1395
720,705,450,1050,580,790,510,660,900,480,1005,1145
730,700,405,630,680,980,660,780,870,770,935,1133
690,1060,470,1202,685,1030,540,975,1155,550,950,1160
