config,strategy,model,version,ev_id,arrival_time,charge_start_time,wait_time,soc_before_charging,config_num
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,8,2022-02-24 15:30:00,2022-02-24 22:15:00,6.75,83.47180418567673,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,8,2022-02-25 13:30:00,2022-02-25 22:45:00,9.25,82.54728707154322,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,8,2022-02-26 11:30:00,2022-02-27 03:15:00,15.75,86.54271314538425,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,8,2022-02-27 09:30:00,2022-02-27 11:15:00,1.75,86.20040233047322,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,9,2022-02-21 17:30:00,2022-02-21 23:00:00,5.5,66.24021521070247,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,9,2022-02-22 17:45:00,2022-02-22 23:30:00,5.75,91.19584602722011,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,9,2022-02-23 11:15:00,2022-02-23 23:45:00,12.5,84.40965623873696,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,9,2022-02-24 17:45:00,2022-02-25 22:45:00,29.0,84.52496759062058,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,9,2022-02-25 15:15:00,2022-02-25 22:45:00,7.5,73.47095981629576,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,9,2022-02-26 09:30:00,2022-02-27 03:15:00,17.75,87.35188320056491,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,9,2022-02-26 16:00:00,2022-02-27 03:15:00,11.25,75.28424468134621,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,0,2022-02-21 18:00:00,2022-02-22 00:00:00,6.0,51.505986746101826,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,0,2022-02-22 16:00:00,2022-02-22 16:15:00,0.25,78.51077728294048,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,0,2022-02-23 16:00:00,2022-02-26 00:00:00,56.0,93.50814320114712,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,0,2022-02-24 16:15:00,2022-02-26 00:00:00,31.75,87.9163390505068,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,0,2022-02-25 15:45:00,2022-02-26 00:00:00,8.25,76.43483407518336,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,1,2022-02-21 18:30:00,2022-02-22 00:00:00,5.5,38.80595035062713,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,1,2022-02-22 18:15:00,2022-02-22 18:30:00,0.25,59.09055498420043,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,1,2022-02-23 18:00:00,2022-02-24 00:00:00,6.0,73.92512682786302,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,1,2022-02-24 17:15:00,2022-02-24 23:00:00,5.75,66.82903217657898,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,2,2022-02-21 20:15:00,2022-02-22 00:00:00,3.75,53.82553508988862,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,2,2022-02-22 19:15:00,2022-02-22 20:00:00,0.75,85.6976288862134,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,2,2022-02-23 19:00:00,2022-02-25 00:45:00,29.75,86.35746132038032,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,2,2022-02-24 23:45:00,2022-02-25 00:45:00,1.0,77.85988534793027,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,2,2022-02-25 19:00:00,2022-02-25 19:45:00,0.75,87.83887127891344,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,3,2022-02-21 18:30:00,2022-02-21 19:00:00,0.5,90.39164610576698,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,3,2022-02-22 15:00:00,2022-02-23 00:00:00,9.0,84.6228851194598,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,3,2022-02-23 21:30:00,2022-02-23 21:45:00,0.25,84.53390879068506,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,3,2022-02-24 14:30:00,2022-02-25 00:00:00,9.5,84.32907305260636,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,3,2022-02-25 18:15:00,2022-02-25 19:00:00,0.75,90.25330815778128,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,3,2022-02-26 18:45:00,2022-02-27 03:15:00,8.5,87.21803785406304,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,3,2022-02-27 13:00:00,2022-02-27 13:15:00,0.25,86.91146663674702,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,3,2022-02-27 16:15:00,2022-02-27 16:30:00,0.25,89.40616538128239,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,4,2022-02-21 18:15:00,2022-02-21 19:00:00,0.75,68.78462331617565,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,4,2022-02-22 15:45:00,2022-02-23 00:00:00,8.25,80.7298533942497,1
Configuration 1,Flexible,Configuration 1 - Flexible Charging,balanced,4,2022-02-23 15:15:00,2022-02-23 19:15:00,4.0,81.9594257040318,1
